test_id,mu0,mu1,err_U,err_u_x,err_u_y,err_u_mag,err_p,fom_time_s,rom_time_s,speedup,fom_iterations,rom_iterations,fom_converged,rom_converged
1,7.141166769233291,1.1076420376044454,0.12310234988887205,0.16094974591800096,0.15850689025680306,0.13718203989536434,0.12309353263404321,1.0197177579975687,0.011361821001628414,89.74950035310532,3,nan,True,nan
2,2.9832388549535023,1.3687436213973394,0.04329371920566803,0.022157592646505513,0.033319420372941305,0.021425156968041134,0.04331502421670498,1.0138173769955756,0.001809940004022792,560.1386646752126,3,nan,True,nan
3,2.583153109765273,2.6241890133115473,0.42479192767531143,0.25120459769341086,0.24953297666786403,0.18323738001404105,0.4249041368160222,1.0179475879995152,0.002245440991828218,453.33971888110557,3,nan,True,nan
4,9.310104982243507,1.5531487955942125,0.04474501666956069,0.13722678482081863,0.1590864516561686,0.1232075937454302,0.044722748978100406,0.9825423740112456,0.0017329249967588112,566.9849392495064,3,nan,True,nan
5,8.377791054337019,2.779785386222372,0.04833841231348735,0.1341011655743789,0.11813963088039729,0.11269037575054745,0.04833022735750994,1.0286356560100103,0.0021133520058356225,486.7318142787511,3,nan,True,nan
6,5.616734097065787,1.489929202137593,0.16349829133370572,0.3007357340040595,0.41813480163568234,0.23500101479027374,0.1634123013023251,0.9877951210073661,0.0021688429987989366,455.4479607580576,3,nan,True,nan
7,8.418174364876702,1.427525926750191,0.06035237728008436,0.11187000675118175,0.15553267961445105,0.09378174406619585,0.060335550265236064,1.0893422400113195,0.001302578006288968,836.2971236669694,3,nan,True,nan
8,7.673203470112387,2.2598804091793614,0.22185468648009937,0.3264209469743076,0.30643691916785304,0.23779871199363734,0.221836160682886,0.989733531998354,0.0022524300002260134,439.40701016193276,3,nan,True,nan
9,9.346665326726503,1.4638163772128376,0.07479721750197484,0.1742716816602083,0.2848194173880068,0.15795987748720083,0.07476523151407409,1.0254503360047238,0.002082169012282975,492.4914019733577,3,nan,True,nan
10,8.192126157580745,2.0363300737054284,0.08825692572663667,0.2365682434852143,0.2171383774612303,0.17430301235359913,0.08821691878511287,1.008347651004442,0.002024314002483152,498.11820190323186,3,nan,True,nan
