test_id,mu0,mu1,err_U,err_u_x,err_u_y,err_u_mag,err_p,fom_time_s,rom_time_s,speedup,fom_iterations,rom_iterations,fom_converged,rom_converged
1,7.141166769233291,1.1076420376044454,0.0009476072124241538,0.0014436812336705274,0.0022856630772576706,0.0013984106553250207,0.0009473165659412991,0.41890474990941584,0.0006297080544754863,665.2364487513845,3,3,True,True
2,2.9832388549535023,1.3687436213973394,0.0009043717134978282,0.00016407511652145458,0.00032371184952573217,0.00014829220312620686,0.000905015249627993,0.4115237920777872,0.0006256250198930502,657.7802661219282,3,3,True,True
3,2.583153109765273,2.6241890133115473,0.02102185950847508,0.004547852226117384,0.0046067169574399,0.003047219373333165,0.021029964885299367,0.4172371659660712,0.0006222500232979655,670.5297715453462,3,3,True,True
4,9.310104982243507,1.5531487955942125,0.0010397760530183255,0.0006782293529395206,0.001316501389316357,0.0006952110631476934,0.001039786301158915,0.41148258291650563,0.0006115830037742853,672.8155955562984,3,3,True,True
5,8.377791054337019,2.779785386222372,0.029399219443049004,0.008135677483158028,0.008224239967667472,0.005956112826136867,0.029400004620188058,0.4123979160794988,0.0006175000453367829,667.8508272085681,3,3,True,True
6,5.616734097065787,1.489929202137593,0.002183140764847235,0.0012415919100859302,0.0028709830802926676,0.001341997615101285,0.0021832430418232155,0.41469199990388006,0.0006564159411936998,631.7518723718957,3,3,True,True
7,8.418174364876702,1.427525926750191,0.0017628791868156044,0.0008656079824858822,0.002145417966498369,0.0009129399973726905,0.0017629467435137634,0.41261704196222126,0.0006293340120464563,655.6407790840368,3,3,True,True
8,7.673203470112387,2.2598804091793614,0.003911509541560723,0.001011602331250136,0.001125579166945802,0.0007469031146407998,0.003911803201016914,0.41541833407245576,0.0006127499509602785,677.9573518062758,3,3,True,True
9,9.346665326726503,1.4638163772128376,0.0021552220628889606,0.0011927613639347424,0.0028816735144762376,0.0012842340340070263,0.002155263574590198,0.4093202499207109,0.0006165830418467522,663.8525910390589,3,3,True,True
10,8.192126157580747,2.0363300737054284,0.004207572984186341,0.0008405212277404828,0.0009666816889973917,0.0006414118853537285,0.004207896780340513,0.41596083296462893,0.0006119159515947104,679.7679189120597,3,3,True,True
